time_ms,balance,unrealized_pnl,equity
1585123200000,400.0,0.0,400.0
1585137600000,400.0,0.0,400.0
1585152000000,400.0,0.0,400.0
1585166400000,400.0,0.0,400.0
1585180800000,400.0,0.0,400.0
1585195200000,400.0,0.0,400.0
1585209600000,400.0,0.0,400.0
1585224000000,400.0,0.0,400.0
1585238400000,400.0,0.0,400.0
1585252800000,400.0,0.0,400.0
1585267200000,400.0,0.0,400.0
1585281600000,400.0,0.0,400.0
1585296000000,400.0,0.0,400.0
1585310400000,400.0,0.0,400.0
1585324800000,400.0,0.0,400.0
1585339200000,400.0,0.0,400.0
1585353600000,400.0,0.0,400.0
1585368000000,400.0,0.0,400.0
1585382400000,400.0,0.0,400.0
1585396800000,400.0,0.0,400.0
1585411200000,400.0,0.0,400.0
1585425600000,400.0,0.0,400.0
1585440000000,400.0,0.0,400.0
1585454400000,400.0,0.0,400.0
1585468800000,400.0,0.0,400.0
1585483200000,400.0,0.0,400.0
1585497600000,400.0,0.0,400.0
1585512000000,400.0,0.0,400.0
1585526400000,400.0,0.0,400.0
1585540800000,400.0,0.0,400.0
1585555200000,400.0,0.0,400.0
1585569600000,400.0,0.0,400.0
1585584000000,400.0,0.0,400.0
1585598400000,400.0,0.0,400.0
1585612800000,400.0,0.0,400.0
1585627200000,400.0,0.0,400.0
1585641600000,400.0,0.0,400.0
1585656000000,400.0,0.0,400.0
1585670400000,400.0,0.0,400.0
1585684800000,400.0,0.0,400.0
1585699200000,400.0,0.0,400.0
1585713600000,400.0,0.0,400.0
1585728000000,400.0,0.0,400.0
1585742400000,400.0,0.0,400.0
1585756800000,400.0,0.0,400.0
1585771200000,400.0,0.0,400.0
1585785600000,400.0,0.0,400.0
1585800000000,400.0,0.0,400.0
1585814400000,400.0,0.0,400.0
1585828800000,400.0,0.0,400.0
1585843200000,400.0,0.0,400.0
1585857600000,400.0,0.0,400.0
1585872000000,400.0,0.0,400.0
1585886400000,400.0,0.0,400.0
1585900800000,400.0,0.0,400.0
1585915200000,400.0,0.0,400.0
1585929600000,400.0,0.0,400.0
1585944000000,400.0,0.0,400.0
1585958400000,400.0,0.0,400.0
1585972800000,400.0,0.0,400.0
1585987200000,400.0,0.0,400.0
1586001600000,400.0,0.0,400.0
1586016000000,400.0,0.0,400.0
1586030400000,400.0,0.0,400.0
1586044800000,400.0,0.0,400.0
1586059200000,400.0,0.0,400.0
1586073600000,400.0,0.0,400.0
1586088000000,400.0,0.0,400.0
1586102400000,400.0,0.0,400.0
1586116800000,400.0,0.0,400.0
1586131200000,400.0,0.0,400.0
1586145600000,400.0,0.0,400.0
1586160000000,400.0,0.0,400.0
1586174400000,400.0,0.0,400.0
1586188800000,400.0,0.0,400.0
1586203200000,400.0,0.0,400.0
1586217600000,400.0,0.0,400.0
1586232000000,400.0,0.0,400.0
1586246400000,400.0,0.0,400.0
1586260800000,400.0,0.0,400.0
1586275200000,400.0,0.0,400.0
1586289600000,400.0,0.0,400.0
1586304000000,400.0,0.0,400.0
1586318400000,400.0,0.0,400.0
1586332800000,400.0,0.0,400.0
1586347200000,400.0,0.0,400.0
1586361600000,400.0,0.0,400.0
1586376000000,400.0,0.0,400.0
1586390400000,400.0,0.0,400.0
1586404800000,400.0,0.0,400.0
1586419200000,400.0,0.0,400.0
1586433600000,400.0,0.0,400.0
1586448000000,400.0,0.0,400.0
1586462400000,400.0,0.0,400.0
1586476800000,400.0,0.0,400.0
1586491200000,400.0,0.0,400.0
1586505600000,400.0,0.0,400.0
1586520000000,400.0,0.0,400.0
1586534400000,400.0,0.0,400.0
1586548800000,400.0,0.0,400.0
1586563200000,400.0,0.0,400.0
1586577600000,400.0,0.0,400.0
1586592000000,400.0,0.0,400.0
1586606400000,400.0,0.0,400.0
1586620800000,400.0,0.0,400.0
1586635200000,400.0,0.0,400.0
1586649600000,400.0,0.0,400.0
1586664000000,400.0,0.0,400.0
1586678400000,400.0,0.0,400.0
1586692800000,400.0,0.0,400.0
1586707200000,400.0,0.0,400.0
1586721600000,400.0,0.0,400.0
1586736000000,400.0,0.0,400.0
1586750400000,400.0,0.0,400.0
1586764800000,400.0,0.0,400.0
1586779200000,400.0,0.0,400.0
1586793600000,400.0,0.0,400.0
1586808000000,400.0,0.0,400.0
1586822400000,400.0,0.0,400.0
1586836800000,400.0,0.0,400.0
1586851200000,400.0,0.0,400.0
1586865600000,400.0,0.0,400.0
1586880000000,400.0,0.0,400.0
1586894400000,400.0,0.0,400.0
1586908800000,400.0,0.0,400.0
1586923200000,400.0,0.0,400.0
1586937600000,400.0,0.0,400.0
1586952000000,400.0,0.0,400.0
1586966400000,400.0,0.0,400.0
1586980800000,400.0,0.0,400.0
1586995200000,400.0,0.0,400.0
1587009600000,400.0,0.0,400.0
1587024000000,400.0,0.0,400.0
1587038400000,400.0,0.0,400.0
1587052800000,400.0,0.0,400.0
1587067200000,400.0,0.0,400.0
1587081600000,400.0,0.0,400.0
1587096000000,400.0,0.0,400.0
1587110400000,400.0,0.0,400.0
1587124800000,400.0,0.0,400.0
1587139200000,400.0,0.0,400.0
1587153600000,400.0,0.0,400.0
1587168000000,400.0,0.0,400.0
1587182400000,400.0,0.0,400.0
1587196800000,400.0,0.0,400.0
1587211200000,400.0,0.0,400.0
1587225600000,400.0,0.0,400.0
1587240000000,400.0,0.0,400.0
1587254400000,400.0,0.0,400.0
1587268800000,400.0,0.0,400.0
1587283200000,400.0,0.0,400.0
1587297600000,400.0,0.0,400.0
1587312000000,400.0,0.0,400.0
1587326400000,400.0,0.0,400.0
1587340800000,400.0,0.0,400.0
1587355200000,400.0,0.0,400.0
1587369600000,400.0,0.0,400.0
1587384000000,400.0,0.0,400.0
1587398400000,400.0,0.0,400.0
1587412800000,400.0,0.0,400.0
1587427200000,400.0,0.0,400.0
1587441600000,400.0,0.0,400.0
1587456000000,400.0,0.0,400.0
1587470400000,400.0,0.0,400.0
1587484800000,400.0,0.0,400.0
1587499200000,400.0,0.0,400.0
1587513600000,400.0,0.0,400.0
1587528000000,400.0,0.0,400.0
1587542400000,400.0,0.0,400.0
1587556800000,400.0,0.0,400.0
1587571200000,400.0,0.0,400.0
1587585600000,400.0,0.0,400.0
1587600000000,400.0,0.0,400.0
1587614400000,400.0,0.0,400.0
1587628800000,400.0,0.0,400.0
1587643200000,400.0,0.0,400.0
1587657600000,400.0,0.0,400.0
1587672000000,400.0,0.0,400.0
1587686400000,400.0,0.0,400.0
1587700800000,400.0,0.0,400.0
1587715200000,400.0,0.0,400.0
1587729600000,400.0,0.0,400.0
1587744000000,400.0,0.0,400.0
1587758400000,400.0,0.0,400.0
1587772800000,400.0,0.0,400.0
1587787200000,400.0,0.0,400.0
1587801600000,400.0,0.0,400.0
1587816000000,400.0,0.0,400.0
1587830400000,400.0,0.0,400.0
1587844800000,400.0,0.0,400.0
1587859200000,400.0,0.0,400.0
1587873600000,400.0,0.0,400.0
1587888000000,400.0,0.0,400.0
1587902400000,400.0,0.0,400.0
1587916800000,400.0,0.0,400.0
1587931200000,400.0,0.0,400.0
1587945600000,400.0,0.0,400.0
1587960000000,400.0,0.0,400.0
1587974400000,400.0,0.0,400.0
1587988800000,400.0,0.0,400.0
1588003200000,400.0,0.0,400.0
1588017600000,400.0,0.0,400.0
1588032000000,400.0,0.0,400.0
1588046400000,400.0,-0.12762917860900058,399.872370821391
1588060800000,400.0,0.6283139381063706,400.6283139381064
1588075200000,400.0,0.21468468556399767,400.214684685564
1588089600000,400.0,0.2289477632378726,400.2289477632379
1588104000000,400.0,0.9991539576271187,400.99915395762713
1588118400000,400.0,2.938932521274109,402.9389325212741
1588132800000,402.57825249913,3.243215214955582,405.82146771408554
1588147200000,404.68331657871,3.514240097681941,408.1975566763919
1588161600000,404.68331657871,5.42221199811619,410.1055285768262
1588176000000,413.9862805221369,0.0,413.9862805221369
1588190400000,413.9862805221369,0.0,413.9862805221369
1588204800000,413.9862805221369,0.0,413.9862805221369
1588219200000,408.05317184300225,0.0,408.05317184300225
1588233600000,408.05317184300225,0.0,408.05317184300225
1588248000000,408.05317184300225,0.0,408.05317184300225
1588262400000,408.05317184300225,0.0,408.05317184300225
1588276800000,408.05317184300225,0.0,408.05317184300225
1588291200000,408.05317184300225,0.0,408.05317184300225
1588305600000,408.05317184300225,0.0,408.05317184300225
1588320000000,408.05317184300225,0.0,408.05317184300225
1588334400000,408.05317184300225,0.0,408.05317184300225
1588348800000,408.05317184300225,0.0,408.05317184300225
1588363200000,408.05317184300225,0.0,408.05317184300225
1588377600000,408.05317184300225,0.0,408.05317184300225
1588392000000,408.05317184300225,0.0,408.05317184300225
1588406400000,408.05317184300225,0.0,408.05317184300225
1588420800000,408.05317184300225,0.0,408.05317184300225
1588435200000,408.05317184300225,0.0,408.05317184300225
1588449600000,408.05317184300225,0.0,408.05317184300225
1588464000000,408.05317184300225,0.0,408.05317184300225
1588478400000,408.05317184300225,0.0,408.05317184300225
1588492800000,408.05317184300225,0.0,408.05317184300225
1588507200000,408.05317184300225,0.0,408.05317184300225
1588521600000,408.05317184300225,0.0,408.05317184300225
1588536000000,408.05317184300225,0.0,408.05317184300225
1588550400000,408.05317184300225,0.0,408.05317184300225
1588564800000,408.05317184300225,0.0,408.05317184300225
1588579200000,408.05317184300225,0.0,408.05317184300225
1588593600000,408.05317184300225,0.0,408.05317184300225
1588608000000,408.05317184300225,0.0,408.05317184300225
1588622400000,408.05317184300225,0.0,408.05317184300225
1588636800000,408.05317184300225,0.0,408.05317184300225
1588651200000,408.05317184300225,0.0,408.05317184300225
1588665600000,408.05317184300225,0.0,408.05317184300225
1588680000000,408.05317184300225,0.0,408.05317184300225
1588694400000,408.05317184300225,0.0,408.05317184300225
1588708800000,408.05317184300225,0.0,408.05317184300225
1588723200000,408.05317184300225,0.0,408.05317184300225
1588737600000,408.05317184300225,0.9515762462491693,409.0047480892514
1588752000000,410.68333211820766,4.080647732321722,414.7639798505294
1588766400000,413.3974891008786,0.0,413.3974891008786
1588780800000,413.3974891008786,0.0,413.3974891008786
1588795200000,413.3974891008786,0.0,413.3974891008786
1588809600000,413.3974891008786,0.0,413.3974891008786
1588824000000,413.3974891008786,0.0,413.3974891008786
1588838400000,413.3974891008786,-0.8959453333052493,412.50154376757337
1588852800000,416.06209687439963,2.302830514023629,418.36492738842327
1588867200000,418.2376673866367,3.9407524539344987,422.1784198405712
1588881600000,421.6996724211204,0.0,421.6996724211204
1588896000000,421.6996724211204,0.0,421.6996724211204
1588910400000,421.6996724211204,0.0,421.6996724211204
1588924800000,421.6996724211204,0.0,421.6996724211204
1588939200000,421.6996724211204,0.0,421.6996724211204
1588953600000,421.6996724211204,0.0,421.6996724211204
1588968000000,421.6996724211204,0.0,421.6996724211204
1588982400000,421.6996724211204,0.0,421.6996724211204
1588996800000,421.6996724211204,0.0,421.6996724211204
1589011200000,421.6996724211204,0.0,421.6996724211204
1589025600000,421.6996724211204,0.0,421.6996724211204
1589040000000,421.6996724211204,0.0,421.6996724211204
1589054400000,421.6996724211204,0.0,421.6996724211204
1589068800000,421.6996724211204,0.0,421.6996724211204
1589083200000,421.6996724211204,0.0,421.6996724211204
1589097600000,421.6996724211204,0.0,421.6996724211204
1589112000000,421.6996724211204,0.0,421.6996724211204
1589126400000,421.6996724211204,0.0,421.6996724211204
1589140800000,421.6996724211204,0.0,421.6996724211204
1589155200000,421.6996724211204,0.0,421.6996724211204
1589169600000,421.6996724211204,0.0,421.6996724211204
1589184000000,421.6996724211204,0.0,421.6996724211204
1589198400000,421.6996724211204,0.0,421.6996724211204
1589212800000,421.6996724211204,0.0,421.6996724211204
1589227200000,421.6996724211204,0.0,421.6996724211204
1589241600000,421.6996724211204,0.0,421.6996724211204
1589256000000,421.6996724211204,0.0,421.6996724211204
1589270400000,421.6996724211204,0.0,421.6996724211204
1589284800000,421.6996724211204,0.0,421.6996724211204
1589299200000,421.6996724211204,0.0,421.6996724211204
1589313600000,421.6996724211204,0.0,421.6996724211204
1589328000000,421.6996724211204,0.0,421.6996724211204
1589342400000,421.6996724211204,0.0,421.6996724211204
1589356800000,421.6996724211204,0.0,421.6996724211204
1589371200000,421.6996724211204,0.0,421.6996724211204
1589385600000,421.6996724211204,0.0,421.6996724211204
1589400000000,421.6996724211204,0.0,421.6996724211204
1589414400000,421.6996724211204,0.9027269722285652,422.60239939334895
1589428800000,423.0125317291123,3.3590551393866206,426.3715868684989
1589443200000,430.1439794562078,0.0,430.1439794562078
