symbol,side,entry_time_ms,exit_time_ms,entry_price,exit_price,quantity,pnl,pnl_pct,reason,leverage,leverage_tier,partials_json
BTCUSDT,long,1588046400000,1588176000000,7699.5,8817.227499999999,0.008391304889927918,9.302963943426903,14.516884213260589,TRAILING_STOP,5.0,major,"[{""fill_price"":7853.49,""level"":0.02,""pnl"":1.245302658599998,""qty"":0.008562556010130527,""size"":0.3,""time_ms"":1588132800000},{""fill_price"":7930.485000000001,""level"":0.03,""pnl"":1.3329498405300038,""qty"":0.00599378920709137,""size"":0.3,""time_ms"":1588132800000},{""fill_price"":8084.475,""level"":0.05,""pnl"":2.105064079580002,""qty"":0.005594203259951945,""size"":0.4,""time_ms"":1588147200000}]"
BTCUSDT,long,1588219200000,1588219200000,9291.5,9059.2125,0.024478501058759015,-5.933108679134622,-2.500000000000004,stop_loss,5.0,major,[]
BTCUSDT,long,1588737600000,1588766400000,8976.0,9207.78,0.012238119702417139,2.714156982670922,2.5822192513369058,TRAILING_STOP,5.0,major,"[{""fill_price"":9155.52,""level"":0.02,""pnl"":1.2703742493656365,""qty"":0.007492726348418656,""size"":0.3,""time_ms"":1588752000000},{""fill_price"":9245.28,""level"":0.03,""pnl"":1.3597860258397296,""qty"":0.005244908443893059,""size"":0.3,""time_ms"":1588752000000}]"
BTCUSDT,long,1588838400000,1588881600000,9310.0,9803.2125,0.007172163584986648,3.4620050344836883,5.297663802363046,TRAILING_STOP,5.0,major,"[{""fill_price"":9496.2,""level"":0.02,""pnl"":1.2870124805897267,""qty"":0.007318534270394538,""size"":0.3,""time_ms"":1588852800000},{""fill_price"":9589.300000000001,""level"":0.03,""pnl"":1.377595292931302,""qty"":0.005122973989276177,""size"":0.3,""time_ms"":1588852800000},{""fill_price"":9775.5,""level"":0.05,""pnl"":2.17557051223706,""qty"":0.004781442389991099,""size"":0.4,""time_ms"":1588867200000}]"
BTCUSDT,long,1589414400000,1589443200000,9301.5,9790.9,0.007322886556981306,3.506924367371368,5.261516959630163,TRAILING_STOP,5.0,major,"[{""fill_price"":9487.53,""level"":0.02,""pnl"":1.3128593079919306,""qty"":0.007472333221409496,""size"":0.3,""time_ms"":1589428800000},{""fill_price"":9580.545,""level"":0.03,""pnl"":1.4052612777632145,""qty"":0.005230633254986647,""size"":0.3,""time_ms"":1589443200000},{""fill_price"":9766.575,""level"":0.05,""pnl"":2.219262081960887,""qty"":0.004881924371320872,""size"":0.4,""time_ms"":1589443200000}]"
BTCUSDT,long,1589486400000,1589500800000,9657.0,9415.574999999999,0.01712988154865282,-4.315272675701315,-2.500000000000011,stop_loss,5.0,major,"[{""fill_price"":9850.14,""level"":0.02,""pnl"":1.339148602993994,""qty"":0.007341377806565495,""size"":0.3,""time_ms"":1589486400000}]"
BTCUSDT,long,1589515200000,1589529600000,9474.0,9569.275,0.01733995342367456,1.470448836596763,1.0056470339877521,TRAILING_STOP,5.0,major,"[{""fill_price"":9663.48,""level"":0.02,""pnl"":1.3298831649438303,""qty"":0.0074314086101462395,""size"":0.3,""time_ms"":1589515200000}]"
BTCUSDT,long,1589745600000,1589788800000,9769.0,9524.775,0.02418081403505012,-6.162155859630129,-2.5000000000000036,stop_loss,5.0,major,[]
BTCUSDT,short,1590134400000,1590278400000,9082.0,9196.0,0.02563718505724545,-3.1803671541879646,-1.2552301255230125,time_exit,5.0,major,[]
BTCUSDT,short,1590350400000,1590364800000,9020.0,8820.349999999999,0.012553649896878242,2.383157372545985,2.213414634146358,TRAILING_STOP,5.0,major,"[{""fill_price"":8839.6,""level"":0.02,""pnl"":1.3110408368955753,""qty"":0.007685908100129537,""size"":0.3,""time_ms"":1590350400000},{""fill_price"":8749.4,""level"":0.03,""pnl"":1.4032837317996787,""qty"":0.005380135670090675,""size"":0.3,""time_ms"":1590350400000}]"
BTCUSDT,short,1590422400000,1590480000000,8779.5,8998.9875,0.026640488406895188,-6.107749373783123,-2.499999999999992,stop_loss,5.0,major,[]
BTCUSDT,short,1590523200000,1590566400000,8793.0,9012.824999999999,0.026217968952704052,-6.020122936893145,-2.4999999999999876,stop_loss,5.0,major,[]
BTCUSDT,long,1590638400000,1590710400000,9167.5,9470.282500000001,0.012145221273466487,3.5528624643532978,3.302781565312257,TRAILING_STOP,5.0,major,"[{""fill_price"":9350.85,""level"":0.02,""pnl"":1.2876282357470576,""qty"":0.007435849759265196,""size"":0.3,""time_ms"":1590667200000},{""fill_price"":9442.525,""level"":0.03,""pnl"":1.3782543863116103,""qty"":0.005205094831485637,""size"":0.3,""time_ms"":1590667200000}]"
BTCUSDT,long,1591257600000,1591344000000,9647.0,9727.86,0.01673583560815519,1.1749197077353766,0.8381880377319434,TRAILING_STOP,5.0,major,"[{""fill_price"":9839.94,""level"":0.02,""pnl"":1.3069887852202198,""qty"":0.007172500974923652,""size"":0.3,""time_ms"":1591286400000}]"
BTCUSDT,long,1591675200000,1591819200000,9676.5,9845.075,0.011748417594728465,1.8543483076676133,1.7421071668475248,TRAILING_STOP,5.0,major,"[{""fill_price"":9870.03,""level"":0.02,""pnl"":1.3147156033319198,""qty"":0.007192908731466406,""size"":0.3,""time_ms"":1591804800000},{""fill_price"":9966.795,""level"":0.03,""pnl"":1.4072482233144248,""qty"":0.005035036112026485,""size"":0.3,""time_ms"":1591804800000}]"
BTCUSDT,long,1591848000000,1591876800000,9890.5,9643.2375,0.023711791531113732,-6.117785804744951,-2.5000000000000075,stop_loss,5.0,major,[]
BTCUSDT,short,1591934400000,1592078400000,9360.5,9470.0,0.02469530401220902,-2.959899496547934,-1.1698093050584903,time_exit,5.0,major,[]
BTCUSDT,short,1592208000000,1592236800000,9118.5,9346.4625,0.025172368177044095,-5.9939997394933275,-2.499999999999996,stop_loss,5.0,major,[]
BTCUSDT,long,1592352000000,1592424000000,9521.0,9282.975,0.023762332290252874,-5.901783609667616,-2.4999999999999964,stop_loss,5.0,major,[]
BTCUSDT,short,1592683200000,1592827200000,9287.0,9489.5,0.024011925845726746,-5.110387942862925,-2.180467319909551,time_exit,5.0,major,[]
BTCUSDT,long,1592942400000,1592985600000,9645.5,9404.3625,0.022828379425161482,-5.743960962665829,-2.5000000000000075,stop_loss,5.0,major,[]
BTCUSDT,short,1593561600000,1593705600000,9135.5,9052.5,0.016630157212918606,1.2139449340085342,0.9085435936730338,time_exit,5.0,major,"[{""fill_price"":8952.789999999999,""level"":0.02,""pnl"":1.2313071067908423,""qty"":0.007127210234107973,""size"":0.3,""time_ms"":1593705600000}]"
BTCUSDT,short,1593979200000,1594036800000,9030.0,9255.75,0.024183703162487958,-5.702690421488562,-2.5,stop_loss,5.0,major,[]
BTCUSDT,long,1594195200000,1594296000000,9280.0,9324.5025,0.016236214112845558,0.556415441227784,0.47955280172414344,TRAILING_STOP,5.0,major,"[{""fill_price"":9465.6,""level"":0.02,""pnl"":1.219733431261532,""qty"":0.00695837747693381,""size"":0.3,""time_ms"":1594209600000}]"
BTCUSDT,short,1594368000000,1594512000000,9151.5,9267.0,0.023626904579899886,-2.968252157081124,-1.2620881822652026,time_exit,5.0,major,[]
BTCUSDT,long,1594656000000,1594800000000,9291.0,9215.0,0.023096639152848375,-1.9904290979059132,-0.81799591002045,time_exit,5.0,major,[]
BTCUSDT,short,1594843200000,1594987200000,9183.5,9144.0,0.02324792754122831,0.6839511222719943,0.43011923558556103,time_exit,5.0,major,[]
BTCUSDT,long,1595347200000,1595491200000,9330.0,9494.0,0.01604621343313865,2.4654493461187674,1.757770632368703,time_exit,5.0,major,"[{""fill_price"":9516.6,""level"":0.02,""pnl"":1.2119547065463139,""qty"":0.0068769486142022775,""size"":0.3,""time_ms"":1595448000000}]"
BTCUSDT,long,1595563200000,1595707200000,9556.5,9692.0,0.022591267650416445,2.821950358178456,1.4178831162036312,time_exit,5.0,major,[]
BTCUSDT,long,1595764800000,1595822400000,9968.0,10168.155,0.010688951566205432,2.021068188695322,2.0079755216693482,TRAILING_STOP,5.0,major,"[{""fill_price"":10167.36,""level"":0.02,""pnl"":1.232188864863833,""qty"":0.006544256060942101,""size"":0.3,""time_ms"":1595808000000},{""fill_price"":10267.04,""level"":0.03,""pnl"":1.3189130687069808,""qty"":0.00458097924265947,""size"":0.3,""time_ms"":1595808000000}]"
